Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET,row
0,2018-02-04,Tatuapé,-23.5402,-46.5765,68280,13,13,18,6,25,37,27,40,NORMAL,5794
1,2019-03-10,Tatuapé,-23.5402,-46.5765,67912,35,35,6,37,4,32,35,20,REABASTECER,6190
2,2019-03-12,Tatuapé,-23.5402,-46.5765,71011,13,13,61,36,40,25,24,13,NORMAL,6192
3,2019-03-29,Tatuapé,-23.5402,-46.5765,67616,28,28,13,27,13,16,7,43,NORMAL,6209
4,2019-04-06,Tatuapé,-23.5402,-46.5765,67467,48,48,42,11,25,43,23,14,NORMAL,6216
5,2019-04-07,Tatuapé,-23.5402,-46.5765,70099,40,40,32,8,20,37,21,12,NORMAL,6217
6,2019-09-22,Brás,-23.5451,-46.6162,72235,86,86,24,18,10,27,15,31,NORMAL,4942
7,2019-04-22,Tatuapé,-23.5402,-46.5765,67751,65,65,55,40,43,41,8,41,NORMAL,6232
8,2019-04-28,Tatuapé,-23.5402,-46.5765,69355,86,86,10,23,17,25,28,17,NORMAL,6238
9,2018-03-25,Tatuapé,-23.5402,-46.5765,70872,29,29,53,43,5,5,32,43,NORMAL,5845
10,2019-05-05,Tatuapé,-23.5402,-46.5765,70862,19,19,23,43,34,43,3,31,REABASTECER,6245
11,2019-10-12,Brás,-23.5451,-46.6162,73363,45,45,15,7,19,1,8,39,NORMAL,4962
12,2019-10-15,Brás,-23.5451,-46.6162,70651,16,16,55,38,10,43,37,26,NORMAL,4965
13,2019-05-16,Tatuapé,-23.5402,-46.5765,67244,78,78,5,43,34,8,11,20,NORMAL,6256
14,2018-04-23,Tatuapé,-23.5402,-46.5765,68236,20,20,61,40,16,9,41,13,NORMAL,5873
15,2018-04-30,Tatuapé,-23.5402,-46.5765,69912,48,48,15,19,25,30,13,28,NORMAL,5880
16,2019-06-09,Tatuapé,-23.5402,-46.5765,69900,27,27,41,13,22,23,2,7,REABASTECER,6279
17,2019-06-13,Tatuapé,-23.5402,-46.5765,69986,74,74,12,43,9,6,35,37,NORMAL,6283
18,2019-06-25,Tatuapé,-23.5402,-46.5765,67289,32,32,61,12,41,17,34,35,NORMAL,6295
19,2018-05-20,Tatuapé,-23.5402,-46.5765,69536,40,40,65,27,26,15,29,23,NORMAL,5900
20,2019-12-11,Brás,-23.5451,-46.6162,72189,86,86,36,16,9,15,35,40,NORMAL,5021
21,2018-06-11,Tatuapé,-23.5402,-46.5765,68602,6,6,41,38,34,27,31,11,REABASTECER,5921
22,2019-12-25,Brás,-23.5451,-46.6162,72855,25,25,11,13,43,13,31,33,NORMAL,5035
23,2019-07-22,Tatuapé,-23.5402,-46.5765,67857,33,33,60,13,30,17,13,7,NORMAL,6322
24,2019-12-29,Brás,-23.5451,-46.6162,72577,76,76,48,37,30,43,18,21,NORMAL,5039
25,2019-08-07,Tatuapé,-23.5402,-46.5765,67100,70,70,17,43,12,17,4,39,REABASTECER,6337
26,2019-08-19,Tatuapé,-23.5402,-46.5765,69517,38,38,1,43,43,21,38,35,NORMAL,6349
27,2018-07-17,Tatuapé,-23.5402,-46.5765,67190,77,77,40,7,8,22,11,30,NORMAL,5957
28,2019-08-28,Tatuapé,-23.5402,-46.5765,68683,55,55,20,11,7,34,43,43,NORMAL,6358
29,2019-09-02,Tatuapé,-23.5402,-46.5765,67491,14,14,59,39,34,18,28,29,NORMAL,6362
30,2019-09-08,Tatuapé,-23.5402,-46.5765,68962,48,48,19,25,13,8,43,5,REABASTECER,6368
31,2019-09-16,Tatuapé,-23.5402,-46.5765,68921,62,62,32,7,21,30,10,16,NORMAL,6376
32,2018-02-25,Barra Funda,-23.5542,-46.6707,148402,64,64,27,17,29,20,29,40,NORMAL,5095
33,2018-02-27,Barra Funda,-23.5542,-46.6707,149377,40,40,15,14,22,10,21,32,NORMAL,5097
34,2018-03-03,Barra Funda,-23.5542,-46.6707,146766,63,63,31,36,41,31,43,6,REABASTECER,5103
35,2018-03-06,Barra Funda,-23.5542,-46.6707,147655,33,33,13,33,29,26,29,36,NORMAL,5106
36,2018-03-09,Barra Funda,-23.5542,-46.6707,147486,4,4,56,22,18,23,17,25,NORMAL,5109
37,2019-10-09,Tatuapé,-23.5402,-46.5765,68297,20,20,61,9,10,16,43,7,NORMAL,6399
38,2018-03-12,Barra Funda,-23.5542,-46.6707,149689,68,68,34,13,2,11,2,16,REABASTECER,5112
39,2019-10-12,Tatuapé,-23.5402,-46.5765,70718,74,74,41,40,37,8,33,41,NORMAL,6402
40,2018-03-17,Barra Funda,-23.5542,-46.6707,148057,16,16,65,37,28,36,23,31,NORMAL,5117
41,2018-03-30,Barra Funda,-23.5542,-46.6707,149197,73,73,41,35,22,10,11,22,NORMAL,5130
42,2018-10-05,Tatuapé,-23.5402,-46.5765,70211,25,25,16,14,31,10,38,10,NORMAL,6035
43,2018-04-11,Barra Funda,-23.5542,-46.6707,147722,40,40,27,15,14,22,11,12,NORMAL,5141
44,2018-04-26,Barra Funda,-23.5542,-46.6707,149031,66,66,55,43,8,10,39,3,REABASTECER,5156
45,2018-10-24,Tatuapé,-23.5402,-46.5765,70478,16,16,19,40,43,43,5,27,NORMAL,6054
46,2018-11-04,Tatuapé,-23.5402,-46.5765,69440,86,86,5,10,40,20,9,35,REABASTECER,6064
47,2018-05-11,Barra Funda,-23.5542,-46.6707,149161,6,6,17,35,38,13,30,33,REABASTECER,5171
48,2019-12-13,Tatuapé,-23.5402,-46.5765,68468,79,79,18,43,19,43,43,13,REABASTECER,6463
49,2018-01-02,República,-23.5436,-46.6434,108116,78,78,56,43,37,38,37,39,NORMAL,6482
50,2018-06-07,Barra Funda,-23.5542,-46.6707,148725,2,2,21,27,12,2,17,11,NORMAL,5197
51,2018-01-22,República,-23.5436,-46.6434,108222,67,67,60,29,43,24,43,6,REABASTECER,6502
52,2018-12-16,Tatuapé,-23.5402,-46.5765,69785,9,9,42,14,8,13,3,43,REABASTECER,6106
53,2018-01-24,República,-23.5436,-46.6434,107873,51,51,46,23,33,20,36,41,NORMAL,6504
54,2018-12-21,Tatuapé,-23.5402,-46.5765,67656,54,54,4,37,28,34,27,28,REABASTECER,6111
55,2019-01-02,Tatuapé,-23.5402,-46.5765,68055,42,42,65,32,27,43,25,31,NORMAL,6122
56,2019-01-12,Tatuapé,-23.5402,-46.5765,70585,34,34,65,43,24,13,35,32,NORMAL,6132
57,2018-07-22,Barra Funda,-23.5542,-46.6707,147545,86,86,33,30,43,43,13,8,NORMAL,5242
58,2019-01-21,Tatuapé,-23.5402,-46.5765,70225,35,35,65,20,31,24,7,43,NORMAL,6141
59,,República,-23.5436,-46.6434,109509,58,58,14,30,17,33,23,30,NORMAL,6539
60,2019-01-26,Tatuapé,-23.5402,-46.5765,70504,62,62,38,12,9,5,34,26,NORMAL,6146
61,2018-08-02,Barra Funda,-23.5542,-46.6707,149516,76,76,21,43,43,11,10,10,NORMAL,5252
62,2019-01-30,Tatuapé,-23.5402,-46.5765,69031,22,22,14,40,38,30,19,8,NORMAL,6150
63,2018-03-08,República,-23.5436,-46.6434,107074,42,42,16,5,25,9,33,31,NORMAL,6548
64,2018-08-06,Barra Funda,-23.5542,-46.6707,149329,32,32,65,35,21,43,32,39,NORMAL,5256
65,2018-08-07,Barra Funda,-23.5542,-46.6707,148283,23,23,55,34,17,37,26,34,NORMAL,5257
66,2018-08-18,Barra Funda,-23.5542,-46.6707,146889,86,86,55,2,8,12,27,36,NORMAL,5268
67,2018-04-06,República,-23.5436,-46.6434,108649,33,33,19,9,40,8,5,9,REABASTECER,6576
69,2018-04-20,República,-23.5436,-46.6434,107525,73,73,45,12,30,6,43,43,REABASTECER,6590
70,2018-09-21,Barra Funda,-23.5542,-46.6707,149428,23,23,35,27,8,29,32,19,NORMAL,5301
71,2018-09-23,Barra Funda,-23.5542,-46.6707,148296,1,1,19,27,43,21,24,9,NORMAL,5303
72,2019-03-22,Tatuapé,-23.5402,-46.5765,68342,6,6,60,43,43,37,28,19,REABASTECER,6202
73,2018-04-30,República,-23.5436,-46.6434,110347,53,53,55,16,37,16,10,41,NORMAL,6600
74,2018-10-10,Barra Funda,-23.5542,-46.6707,147628,22,22,41,15,21,43,43,24,NORMAL,5320
75,2019-04-09,Tatuapé,-23.5402,-46.5765,69868,20,20,17,43,10,31,14,1,REABASTECER,6219
76,2019-04-12,Tatuapé,-23.5402,-46.5765,67598,75,75,65,34,38,18,6,36,REABASTECER,6222
77,2018-06-06,República,-23.5436,-46.6434,110890,36,36,65,31,24,9,6,19,NORMAL,6636
78,2018-06-14,República,-23.5436,-46.6434,109045,42,42,14,8,37,23,20,33,NORMAL,6644
79,2018-11-12,Barra Funda,-23.5542,-46.6707,148195,74,74,37,11,28,25,36,23,NORMAL,5352
81,2018-07-03,República,-23.5436,-46.6434,109982,29,29,15,43,6,9,22,43,NORMAL,6663
82,2019-05-30,Tatuapé,-23.5402,-46.5765,67435,25,25,36,41,21,13,39,43,NORMAL,6270
83,2018-12-04,Barra Funda,-23.5542,-46.6707,147582,26,26,6,23,26,42,31,20,REABASTECER,5374
84,2019-06-06,Tatuapé,-23.5402,-46.5765,69584,57,57,57,23,36,28,15,19,NORMAL,6276
85,2018-07-16,República,-23.5436,-46.6434,110934,65,65,56,41,33,6,6,36,NORMAL,6676
86,2018-07-17,República,-23.5436,-46.6434,108804,57,57,51,40,30,43,43,33,NORMAL,6677
87,2018-07-18,República,-23.5436,-46.6434,110295,44,44,41,39,24,41,39,27,NORMAL,6678
89,2018-07-22,República,-23.5436,-46.6434,109674,86,86,17,25,8,26,23,14,NORMAL,6682
90,2019-06-23,Tatuapé,-23.5402,-46.5765,69098,57,57,7,19,6,24,43,41,NORMAL,6293
91,2019-07-02,Tatuapé,-23.5402,-46.5765,68457,61,61,6,40,20,37,10,5,NORMAL,6302
92,2019-01-01,Barra Funda,-23.5542,-46.6707,149068,3,3,23,30,5,10,12,8,REABASTECER,5401
93,2018-09-06,República,-23.5436,-46.6434,107556,8,8,27,35,9,18,32,30,NORMAL,6726
94,2019-07-30,Tatuapé,-23.5402,-46.5765,71040,44,44,65,26,43,43,32,21,NORMAL,6330
95,2019-08-26,Tatuapé,-23.5402,-46.5765,68045,70,70,31,17,15,37,7,8,NORMAL,6356
96,2018-10-05,República,-23.5436,-46.6434,110118,75,75,39,22,26,11,10,12,NORMAL,6755
97,2018-10-09,República,-23.5436,-46.6434,107940,33,33,8,9,9,43,35,38,NORMAL,6759
98,2018-10-10,República,-23.5436,-46.6434,107757,25,25,65,7,6,41,32,35,REABASTECER,6760
99,2019-02-23,Barra Funda,-23.5542,-46.6707,150309,36,36,56,34,39,18,43,4,NORMAL,5453
100,2018-10-22,República,-23.5436,-46.6434,110757,86,86,43,15,3,35,27,32,NORMAL,6772
101,2018-10-27,República,-23.5436,-46.6434,108271,43,43,3,40,29,23,12,12,REABASTECER,6777
102,2019-09-21,Tatuapé,-23.5402,-46.5765,68438,17,17,65,33,43,19,30,35,NORMAL,6381
103,2018-11-01,República,-23.5436,-46.6434,107932,86,86,46,31,11,11,39,37,REABASTECER,6781
104,2019-03-10,Barra Funda,-23.5542,-46.6707,148411,57,57,65,27,16,8,13,18,REABASTECER,5470
105,2019-10-14,Tatuapé,-23.5402,-46.5765,69940,48,48,29,32,29,43,27,31,NORMAL,6404
106,2019-04-01,Barra Funda,-23.5542,-46.6707,149345,6,6,49,24,16,25,23,24,REABASTECER,5491
107,2018-11-25,República,-23.5436,-46.6434,107947,23,23,59,4,43,28,16,30,REABASTECER,6805
108,2019-04-03,Barra Funda,-23.5542,-46.6707,150287,74,74,32,22,8,21,11,15,NORMAL,5493
109,2019-04-08,Barra Funda,-23.5542,-46.6707,150164,17,17,65,16,31,43,34,35,NORMAL,5498
110,2019-10-27,Tatuapé,-23.5402,-46.5765,70132,3,3,20,34,21,12,23,28,REABASTECER,6417
111,2019-11-04,Tatuapé,-23.5402,-46.5765,70008,30,30,35,43,43,31,33,43,NORMAL,6424
112,2019-04-24,Barra Funda,-23.5542,-46.6707,149021,38,38,14,9,16,18,20,16,NORMAL,5514
113,2018-12-19,República,-23.5436,-46.6434,110691,40,40,23,7,19,24,43,20,NORMAL,6829
114,2018-12-20,República,-23.5436,-46.6434,108914,31,31,19,7,17,19,41,17,NORMAL,6830
115,2019-11-15,Tatuapé,-23.5402,-46.5765,68352,4,4,24,16,43,40,30,41,REABASTECER,6435
116,2019-11-16,Tatuapé,-23.5402,-46.5765,68627,86,86,15,11,41,35,25,35,NORMAL,6436
117,2019-05-05,Barra Funda,-23.5542,-46.6707,148177,17,17,3,25,14,22,22,10,REABASTECER,5525
118,2019-01-02,República,-23.5436,-46.6434,110304,8,8,6,7,10,23,36,2,NORMAL,6842
